FL_DATE,ORIGIN,DEST,DEP_DELAY,ARR_DELAY
8/1/2018,JFK,PHX,9,44
8/1/2018,PHX,EWR,29,53
8/1/2018,CLE,DFW,-3,-2
8/1/2018,SJU,DFW,44,43
8/1/2018,AUS,MIA,-4,-2
8/1/2018,DTW,ORD,-10,-7
8/1/2018,ORD,DTW,-1,5
8/1/2018,AUS,DFW,-6,-13
8/1/2018,DFW,OKC,-2,-5
8/1/2018,OKC,DFW,-10,1
8/1/2018,LGA,DFW,1,-17
8/1/2018,LAX,ORD,-5,2
8/1/2018,DFW,SNA,-3,0
8/1/2018,SNA,DFW,18,14
8/1/2018,MIA,DFW,34,36
8/1/2018,SAT,MIA,-10,-10
8/1/2018,DFW,RDU,-6,-8
8/1/2018,SAN,ORD,36,21
8/1/2018,DFW,CLE,84,75
8/1/2018,DFW,LGA,-2,-8
8/1/2018,LGA,DFW,-7,70
8/1/2018,AUS,DFW,-2,9
8/1/2018,JFK,MIA,1,-9
8/1/2018,DFW,SAN,0,-1
8/1/2018,SAN,DFW,-1,-2
8/1/2018,DFW,GSP,-4,-9
8/1/2018,GSP,DFW,-2,-16
8/1/2018,MIA,SJU,-6,-8
8/1/2018,SJU,MIA,-7,-25
8/1/2018,IAH,MIA,33,38
8/1/2018,MIA,IAH,21,36
8/1/2018,ORF,DFW,-8,-9
8/1/2018,DFW,STL,9,11
8/1/2018,STL,DFW,14,34
8/1/2018,ATL,MIA,-7,9
8/1/2018,MIA,ATL,-2,0
8/1/2018,DFW,CLT,-2,5
8/1/2018,DFW,TUL,-5,-12
8/1/2018,TUL,DFW,-10,-16
8/1/2018,PHL,SAN,-5,-15
8/1/2018,DEN,DFW,-4,-9
8/1/2018,DFW,DEN,-4,4
8/1/2018,MIA,PHL,-1,2
8/1/2018,DFW,SAN,20,6
8/1/2018,SAN,DFW,-5,-5
8/1/2018,ORD,DFW,-6,-20
8/1/2018,LGA,MIA,-4,12
8/1/2018,LAX,BOS,-1,-6
8/1/2018,AUS,ORD,-6,10
8/1/2018,ORD,AUS,-5,-17
8/1/2018,ATL,DFW,0,10
8/1/2018,CLT,MSY,2,79
8/1/2018,DFW,PHX,6,0
8/1/2018,SAT,PHX,15,0
8/1/2018,DCA,PHX,1,6
8/1/2018,RDU,PHL,-8,-19
8/1/2018,CLT,DEN,87,68
8/1/2018,TPA,CLT,21,16
8/1/2018,CLT,LGA,-1,-11
8/1/2018,PHL,BNA,-4,71
8/1/2018,CLT,MEM,17,82
8/1/2018,DTW,CLT,-1,2
8/1/2018,CLT,ATL,-4,-9
8/1/2018,SEA,DFW,0,-16
8/1/2018,CLT,RDU,46,49
8/1/2018,RSW,CLT,-5,-11
8/1/2018,CLT,PHL,134,117
8/1/2018,DCA,MCO,-7,-7
8/1/2018,MCO,DCA,7,2
8/1/2018,CLT,ORD,6,-10
